date,start_date,end_date,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,OT,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,YEAR_WEEK,search_fact,report_fact
2000-01-03,2000-01-03,2000-01-09,National,X,2000,2,5.52808,3.90316,1011,X,2251,1746,X,462,5470,467,140143,2000-2,"Objective facts about the Pulic Health and FLU situation:
In 2000, there were reports of influenza A and flu-like illnesses, but most cases were not actually influenza. 
Avian and pandemic influenza were discussed in a global health policy course in 2000.",NA
2000-01-10,2000-01-10,2000-01-16,National,X,2000,3,3.80508,2.91178,851,X,1357,1334,X,315,3857,450,132462,2000-3,"Objective facts about the Pulic Health and FLU situation:
The most dangerous known infectious diseases likely to threaten the United States over the next two decades will be HIV/AIDS, hepatitis C, TB, and influenza. 
Respiratory syncytial virus (RSV) is a major cause of viral lower respiratory tract infections among infants and young children in both developed and developing countries. 
Influenza A is one of the deadliest infectious diseases.",NA
2000-01-17,2000-01-17,2000-01-23,National,X,2000,4,3.41177,2.1567,722,X,962,1048,X,169,2901,433,134511,2000-4,"Objective facts about the Pulic Health and FLU situation:
Although protection against infection is not 100%, the symptoms and signs of the flu can be reduced with vaccination .
Estimates of the economic impact of a pandemic influenza in the United States range from U.S. $71 to .
Social distancing can flatten the infection curve by more than half .
CO poisoning associated with indoor combustion sources continues to be a problem in the United States .",NA
2000-01-24,2000-01-24,2000-01-30,National,X,2000,5,2.4,1.81295,633,X,786,914,X,145,2478,441,136683,2000-5,"Objective facts about the Pulic Health and FLU situation:
Influenza has a significant impact on hospitalizations, outpatient visits, and mortality rates, particularly among children and individuals with chronic diseases. 
Influenza and respiratory syncytial virus infections are major concerns for public health, with significant hospitalization rates associated with these infections. 
An estimated 25% of the world's population suffered a clinical infection, and global mortality may have been significant during the 1918 influenza pandemic.",NA
2000-01-31,2000-01-31,2000-02-06,National,X,2000,6,1.8912,1.6166,599,X,646,862,X,116,2223,437,137511,2000-6,Influenza vaccination is recommended for individuals with chronic heart failure to prevent pulmonary infection.,NA
2000-02-07,2000-02-07,2000-02-13,National,X,2000,7,1.35503,1.26702,539,X,447,610,X,72,1668,413,131648,2000-7,"The early 1900s in the United States saw many major health threats from infectious diseases associated with poor hygiene and poor sanitation, such as typhoid.",NA
2000-02-14,2000-02-14,2000-02-20,National,X,2000,8,1.33212,1.14107,452,X,328,481,X,64,1325,382,116119,2000-8,"Objective facts about the Pulic Health and FLU situation:
The neuraminidase inhibitor zanamivir is effective in the treatment of influenza virus infections . 
Influenza A epidemic occurred in British Columbia in 1997-98 .",NA
2000-02-21,2000-02-21,2000-02-27,National,X,2000,9,1.49127,1.23509,499,X,360,477,X,49,1385,370,112138,2000-9,"Objective facts about the Pulic Health and FLU situation:
Oseltamivir, an oral neuraminidase inhibitor, has been evaluated for its efficacy and safety in treating naturally acquired influenza infection. 
Memory T cells generated during a primary influenza infection are important for protection against subsequent infections.",NA
2000-02-28,2000-02-28,2000-03-05,National,X,2000,10,1.26826,1.01933,381,X,256,394,X,57,1088,363,106737,2000-10,"The Wistar Institute, Philadelphia, PA 19104, USA, conducted research on Th cell-deficient mice and influenza virus infection.",NA
2000-03-06,2000-03-06,2000-03-12,National,X,2000,11,1.05854,0.926459,342,X,206,342,X,44,934,338,100814,2000-11,The 1999-2000 influenza season in the United States saw influenza A activity.,NA
2000-03-13,2000-03-13,2000-03-19,National,X,2000,12,0.92201,0.911006,305,X,229,346,X,37,917,326,100658,2000-12,"The influenza A/H3N2 and influenza B viruses can cause disease, but influenza A/H1N1 did not cause disease in a particular study.",NA
2000-03-20,2000-03-20,2000-03-26,National,X,2000,13,0.892334,0.823722,282,X,206,320,X,29,837,320,101612,2000-13,"Objective facts about the Pulic Health and FLU situation:
There were publications in 2000 related to influenza, vaccination, and infectious diseases, including a review on Pasteurella multocida, a study on the detection of bovine coronavirus, and an article on health diplomacy in pandemical times.",NA
2000-03-27,2000-03-27,2000-04-02,National,X,2000,14,0.929201,0.725443,186,X,171,286,X,23,666,295,91806,2000-14,"There is no direct information about Pulic Health and FLU in the provided search results. However, there are some mentions of influenza infection and disease outbreaks in various contexts.",NA
2000-04-03,2000-04-03,2000-04-09,National,X,2000,15,0.655592,0.579775,178,X,127,196,X,21,522,289,90035,2000-15,The 1918-1919 Influenza Pandemic was associated with disease vectors,NA
