date,OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),search_fact,search_fact_summary_gpt_5_2
1993-04-05,1.068,1.04,1.068,1.068,1.023,1.061,1.064,1.093,1.152,"The global oil market is experiencing changes due to shale gas production in the United States and rising oil production in Iraq, which may lead to lower oil prices.","Increased U.S. shale production and rising oil output in Iraq are adding supply to the global oil market, which the article notes could put downward pressure on crude oil prices. Lower crude prices, if sustained, typically reduce input costs for U.S. gasoline."
1993-04-12,1.079,1.047,1.073,1.072,1.032,1.077,1.071,1.118,1.154,The United States suffered an oil embargo and the quadrupling of oil prices in 1973 due to its support for Israel.,The article notes that in 1973 the U.S. faced an oil embargo and a quadrupling of oil prices due to its support for Israel.
1993-04-19,1.079,1.054,1.074,1.077,1.04,1.067,1.081,1.12,1.155,"Objective facts about the Economy and Energy situation:
Since the reform, market forces have generally set prices after years of comprehensive price control regulations in the Cook Islands. 
Latest US inflation report may provide clues to future path of prices and interest rates.","The Cook Islands have shifted from comprehensive price controls to market-based pricing, allowing market forces to generally set prices after the reform. In the U.S., the latest inflation report is being watched for signals on the future path of prices and interest rates, which can influence fuel demand and broader energy-market conditions."
1993-04-26,1.086,1.059,1.076,1.08,1.046,1.078,1.081,1.169,1.157,"The country of origin for the KIA MPV (RV) is the United States, and it runs on Gasoline Fuel.","The article notes that the KIA MPV (RV) is a U.S.-origin vehicle that uses gasoline fuel. No information is provided on gasoline supply, demand, refining capacity, inventories, crude oil prices, or policy changes that would directly inform U.S. gasoline price forecasting."
1993-05-03,1.086,1.062,1.08,1.084,1.05,1.073,1.084,1.161,1.161,"The price of gasoline and fuel oil was a concern in 1993, with a scheme to evade state taxes on their sale being uncovered in the United States.","In 1993, U.S. authorities uncovered a scheme to evade state taxes on gasoline and fuel oil sales. The report centers on tax evasion enforcement rather than current supply, demand, refinery operations, or pricing fundamentals."
1993-05-10,1.097,1.069,1.091,1.09,1.057,1.091,1.088,1.143,1.171,"The US oil and gas industry has interests in western US states, and the Wyoming Oil and Gas Commission has information on potential oil and gas drilling sites.","The Wyoming Oil and Gas Commission provides information on potential oil and gas drilling sites in Wyoming, reflecting ongoing oil and gas development interests in western U.S. states. This could signal future regional crude supply potential, depending on permitting and drilling activity."
1993-05-17,1.106,1.073,1.096,1.095,1.06,1.107,1.097,1.136,1.177,The cost of practice varies among fuel and motor oil dealers and auctioneers in the United States.,"Practice costs differ across U.S. fuel and motor oil dealers and auctioneers, indicating variation in operating and compliance expenses within parts of the fuel supply chain."
1993-05-24,1.106,1.075,1.096,1.094,1.064,1.103,1.096,1.17,1.178,"The Ploesti oil refinery is mentioned in the Joint Force Quarterly - Summer 1993 article, indicating that oil production and energy security were concerns in 1993.","A 1993 Joint Force Quarterly article mentioned Romania’s Ploesti oil refinery in the context of oil production and energy security concerns at that time. No current-week or near-term supply, demand, refinery operations, inventory, or policy details relevant to forecasting U.S. gasoline prices were provided."
1993-05-31,1.107,1.078,1.097,1.099,1.065,1.102,1.096,1.164,1.186,"The price of gasoline was a significant factor in the United States and India in 1993, with the introduction of clear premium gasoline and the consideration of fuel costs in India.","In 1993, gasoline prices were highlighted as a significant issue in the United States alongside the introduction of clear premium gasoline. The same period noted attention to fuel costs in India."
1993-06-07,1.104,1.078,1.102,1.098,1.064,1.095,1.095,1.149,1.188,"Objective facts about the Economy and Energy situation:
The price of petroleum products declined by between 20 cents and 40 cents a barrel in May 1993. 
Crude oil prices declined in May 1993. 
The prices of coconut oil, copra, and palm oil are expected to increase.","Petroleum product prices fell by about 20–40 cents per barrel in May 1993, alongside a decline in crude oil prices during the same month. Separately, prices for coconut oil, copra, and palm oil were expected to rise."
1993-06-14,1.101,1.076,1.103,1.097,1.062,1.092,1.094,1.137,1.188,"The real price of Gulf oil is underestimated, leading to an overestimation of the real price of alternative fuels.","The article claims Gulf oil’s “real” price is underestimated, which in turn makes alternative fuels appear more expensive than they truly are. It implies that correcting Gulf oil price assumptions could change perceived competitiveness between petroleum-based fuels and alternatives."
1993-06-21,1.095,1.075,1.101,1.095,1.062,1.077,1.09,1.132,1.186,"In 1993, the International Monetary Fund reported that price pressures eased in world oil markets.","In 1993, the International Monetary Fund reported that price pressures in world oil markets had eased, indicating reduced upward pressure on global crude prices during that period."
1993-06-28,1.089,1.072,1.1,1.095,1.057,1.068,1.087,1.12,1.182,"The United States Supreme Court based its decision in Phillips Petroleum Co. on the cost per unit of oil and gas produced, which affects the economy of oil and gas extraction.","The U.S. Supreme Court’s decision in *Phillips Petroleum Co.* focused on the cost per unit of oil and gas produced, addressing economic considerations in oil and gas extraction. The article does not provide specific information on current crude supply, refining activity, or near-term gasoline market conditions."
1993-07-05,1.086,1.068,1.096,1.091,1.054,1.063,1.089,1.111,1.181,The price of oil was at rock bottom in 1993 until the Gulf War.,"Oil prices were at very low levels in 1993, before rising around the time of the Gulf War."
1993-07-12,1.081,1.066,1.095,1.09,1.05,1.054,1.083,1.134,1.177,"In 1993, about 83% of recycled used oil in the United States was reprocessed for use as fuel.","In 1993, about 83% of recycled used oil in the United States was reprocessed for use as fuel, indicating that a large share of recycled oil was directed to fuel markets rather than other uses."
1993-07-19,1.075,1.062,1.091,1.086,1.046,1.045,1.08,1.124,1.172,"The state energy conglomerate ENI was involved in a scandal in 1993, which led to the suicide of its former chairman Gabriele Cagliari.","The article references a 1993 scandal involving Italy’s state energy conglomerate ENI that led to the suicide of former chairman Gabriele Cagliari. It contains no information on current oil supply, refining operations, demand, inventories, or prices relevant to forecasting U.S. gasoline prices."
1993-07-26,1.069,1.059,1.089,1.083,1.043,1.036,1.075,1.114,1.168,The presumptive NOx RACT emissions rates for gas/oil are 0.20 to 0.30.,Presumptive NOx RACT emissions rates for gas/oil were cited at 0.20 to 0.30. This could affect refinery or fuel-related compliance costs if adopted in relevant jurisdictions.
1993-08-02,1.062,1.054,1.086,1.077,1.038,1.028,1.07,1.103,1.158,"The Clinton administration passed a budget bill in August 1993, which included a gasoline tax increase from 14.1 cents to 18.4 cents per gallon.","In August 1993, the Clinton administration passed a budget bill that raised the federal gasoline tax from 14.1 cents to 18.4 cents per gallon."
1993-08-09,1.06,1.051,1.081,1.076,1.035,1.026,1.067,1.092,1.159,"The proposed tax rates in Alaska in 1993 would have resulted in people using fuel oil for heating paying the most, about $88 per household.","A 1993 Alaska tax proposal indicated fuel oil for heating would face the highest household burden, estimated at about $88 per household."
1993-08-16,1.059,1.047,1.077,1.075,1.03,1.025,1.064,1.134,1.154,"Objective facts about the Economy and Energy situation: 
NA","No related articles or objective facts were provided (listed as “NA”), so there is no new reported information this week on crude oil supply/demand, refinery operations/outages, gasoline inventories, policy changes, or demand indicators that could be used to inform a U.S. gasoline price forecast."
1993-08-23,1.065,1.045,1.072,1.074,1.028,1.043,1.067,1.129,1.155,"Objective facts about the Economy and Energy situation: 
The price of oil was around $28 a barrel in August 1993. 
The copper price changes export earnings by one US cent.",Oil prices were about $28 per barrel in August 1993. Copper price movements were noted as affecting export earnings by roughly one U.S. cent.
1993-08-30,1.062,1.041,1.069,1.068,1.024,1.04,1.062,1.121,1.155,"The United States experienced rapid growth in 1993, which contributed to an external surplus.","The United States experienced rapid economic growth in 1993, which contributed to an external surplus. No specific information on crude oil markets, refinery operations, gasoline supply/demand, inventories, or fuel policy changes is provided."
