CBSA Code,CBSA,start_date,end_date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,date,search_fact,report_fact
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-01-03,2000-01-09,67.14285714285714,Moderate,PM2.5,36-061-0010,35.857142857142854,2000-01-03,"Indoor air quality is a concern, with references to indoor air pollution from candles and swimming pools.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-01-10,2000-01-16,53.142857142857146,Good,PM2.5,36-061-0010,38.0,2000-01-10,"Daily and annual PM2.5 concentrations are available for the contiguous United States from 2000, providing air quality data for health-related applications.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-01-17,2000-01-23,61.57142857142857,Good,NO2,36-005-0080,36.142857142857146,2000-01-17,"Objective facts about the Environment situation: 
The Coast Guard posted economic supporting data for NPRM on January 17, 2000. 
The Federal Register published Effluent Limitations Guidelines, Pretreatment Standard for the Metal Products and Machinery Point Source Category on January 19, 2000. 
Decreasing snowfall has been observed in parts of New York, New England, and eastern Canada over the past two years.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-01-24,2000-01-30,73.28571428571429,Moderate,PM2.5,36-005-0110,35.857142857142854,2000-01-24,"Objective facts about the Environment situation:
Air pollution is a concern in various parts of the world, including Cotonou, Benin, and New York City, with ambient air quality being monitored by the Environmental Protection Agency.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-01-31,2000-02-06,68.85714285714286,Moderate,NO2,34-039-0004,37.285714285714285,2000-01-31,The Clean Air Act amendments of 1990 led to a reduction in acid rain in the Eastern United States.,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-02-07,2000-02-13,84.42857142857143,Moderate,PM2.5,34-039-0004,37.714285714285715,2000-02-07,"The U.S. Environmental Protection Agency (EPA) has a Region II Director, Enforcement Division, located at 26 Federal Plaza, New York.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-02-14,2000-02-20,65.85714285714286,Moderate,PM2.5,34-039-0004,37.57142857142857,2000-02-14,"Objective facts about the Environment situation: 
The Clean Air Act aims to prevent death and disease from particulate air pollution. 
International trade can impact environmental quality. 
Air quality regulations require specific guidelines for air quality models. 
Liquefied Petroleum Gas contributes to air pollution. 
Emissions from maritime transport influence air quality.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-02-21,2000-02-27,95.42857142857143,Moderate,PM2.5,36-005-0080,40.42857142857143,2000-02-21,"More than nine million people rely on the outstanding quality of New York City's unfiltered water supply, with 90% of it coming from the watershed.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-02-28,2000-03-05,52.714285714285715,Good,NO2,34-039-0004,38.0,2000-02-28,"The air quality monitor, Temtop M2000, was used by the New York State Education Department.",NA
35620,"New York-Newark-Jersey City, NY-NJ-PA",2000-03-06,2000-03-12,79.14285714285714,Moderate,PM2.5,36-061-0010,38.0,2000-03-06,"The weather history for March 9, 2000, shows records of air quality, fog, heat, hurricanes, lightning, and safe boating conditions in Western New York.",NA
