OT,start_date,date,end_date,search_fact,report_fact
203442,2000-01-01,2000-01-01,2000-01-31,"Water availability for operation of the Panama Canal is limited, and even at present traffic is a concern.; According to Caltrans, about 76 percent of California's HOV lane miles experienced volumes above 800 vehicles per hour (vph) during peak hours in 1998.; The volume of traffic in the through/right turn lane should be considered when conducting traffic studies.; Objective facts about the Traffic and Transportation situation:
The volume of road traffic moving along the Konkan Railway Corporation Limited alignment was estimated by RITES in 1997. 
Closing segments of interstates and certain other limited access highways to trucks requires approval of the Federal Highway Administration (FHWA). 
Road Dust from rural vehicles emits more pollutants than urban ones, including heavy metal composition and minuscule particles suspended in the air.; As of 2000, there has been a decrease in the number of active petroleum USTs in the U.S. due to closures and improved environmental standards.; Objective facts about the Traffic and Transportation situation:
The nation's airspace in the United States carries the largest volume of air traffic in the world.",NA
199261,2000-02-01,2000-02-01,2000-02-29,"Objective facts about the Traffic and Transportation situation:
The nation's airspace in the United States carries the largest volume of air traffic in the world.; There is no relevant objective fact about the current Traffic and Transportation situation that can be extracted from the provided search results.; The United States Department of Transportation is involved in projects related to traffic signals and rural two-lane highways.; The volume of truck traffic is unusually high in certain areas, such as near the U.S. Army Corps of Engineers.; The United States Department of Transportation (U.S.DOT) is involved in research on transit pricing and fares, and has published a report on the topic.",NA
232490,2000-03-01,2000-03-01,2000-03-31,"The United States Department of Transportation (U.S.DOT) is involved in research on transit pricing and fares, and has published a report on the topic.; The average daily traffic (ADT) of 25,000 or greater is considered high vehicular traffic.; The installation of roundabouts can lead to crash reductions, taking into account durations of before and after periods and increases in traffic volume.; Objective facts about the Traffic and Transportation situation:
The City of Madison is concerned about traffic volumes, speeding, pedestrian and bicycle safety on Old Middleton Road. 
FARS collects data on all fatal traffic crashes within the United States that involve a motor vehicle traveling on a public road and result in a death within 30 days. 
Idaho Transportation Department considers width, curvature, traffic volumes, and traffic operations when planning road construction.; The score derived from Plasmodium vivax infections among immigrants from China traveling to the United States may increase cases of airport malaria, which could impact air traffic.",NA
227698,2000-04-01,2000-04-01,2000-04-30,"The score derived from Plasmodium vivax infections among immigrants from China traveling to the United States may increase cases of airport malaria, which could impact air traffic.; Objective facts about the Traffic and Transportation situation:
Traffic volume in certain areas is expected to increase, leading to a higher demand for alternative transportation methods. 
The design of acceleration-deceleration lanes can impact the smooth flow of through traffic and affect travel speeds. 
Airport terminal facilities are designed to accommodate traffic levels and air travel market demands.; The United States Department of Transportation has conducted studies on highway safety, traffic volume, and travel demand.; The U.S. Army Corps of Engineers is authorized to carry out Civil Works water resources projects for navigation, flood damage reduction, and other purposes.; The logarithmic nature of noise means that it requires a doubling of traffic volumes to increase noise levels by 3 dB.",NA
242501,2000-05-01,2000-05-01,2000-05-31,"The construction of the Interstate Highway System has contributed to significantly higher traffic speeds and volumes in the United States.; The average daily traffic volume on Old Henry Road east of the interchange is in the range of 27,000 to 35,000.; Traffic calming programs in the United States are largely restricted to low-volume residential streets.; The volume of traffic is a determining factor in the operational characteristics of roads and highways.; The traffic volume on I-64 in Virginia varies widely, with figures published rounded to the nearest 100.",NA
242963,2000-06-01,2000-06-01,2000-06-30,"The traffic volume on I-64 in Virginia varies widely, with figures published rounded to the nearest 100.; Objective facts about the Traffic and Transportation situation:
There is no relevant information about Traffic and Transportation in the provided search results. NA; Traffic volumes are increasing in various regions, including Southern Kentucky, Washington State, and Ontario, leading to concerns about congestion and safety.; The Pennsylvania Bulletin mentions that the transportation of hazardous materials has more restrictive regulations than surrounding states.; The traffic volume on certain roadways can impact the design and construction of pavements, with truck traffic volume being a significant factor.",NA
245140,2000-07-01,2000-07-01,2000-07-31,"The traffic volume on certain roadways can impact the design and construction of pavements, with truck traffic volume being a significant factor.; There is a Traffic Management Regulation (AR55-355) for guidance.; The Arizona Department of Transportation deployed its statewide 511 system, providing traffic information to travelers.; The Trans-Kalahari Highway is under-utilized, and Botswana is revising its Road Traffic Act to improve traffic volumes.; There is a discussion on traffic flow analysis beyond traditional methods, including traffic congestion, traffic estimation, and travel demand.; The United States Bureau of the Census is involved in tracking traffic volume.",NA
247832,2000-08-01,2000-08-01,2000-08-31,"The United States Bureau of the Census is involved in tracking traffic volume.; There are no objective facts directly related to traffic and transportation predictions in the provided search results. However, there are some facts that could be indirectly relevant, such as the average share of non-aeronautical revenues in the total income of major airports  and the definition of traffic units .; The volume of travel per lane-mile has increased throughout the system for the past years, with a 2% increase.; Each year, traffic crashes in the United States result in significant losses.; As of 2000, there were rising volumes of international traffic, and traffic calming was being considered for certain streets and highways.",NA
227899,2000-09-01,2000-09-01,2000-09-30,"As of 2000, there were rising volumes of international traffic, and traffic calming was being considered for certain streets and highways.; The Athmar Park neighborhood in Denver has identified three types of streets based on right-of-way width, traffic volume, and signalization.; The Military Traffic Management Command (MTMC) is the Army component of the U.S.; The COMPASS traffic monitoring and incident information system in Toronto monitors travel on 42 km of the highway.; Objective facts about the Traffic and Transportation situation: 
The US Department of Transportation, National Highway Traffic Safety Administration, has data on traffic safety. 
There are policies and guidelines for traffic volumes and facility types at intersections in the United States.",NA
236491,2000-10-01,2000-10-01,2000-10-31,"Objective facts about the Traffic and Transportation situation: 
The US Department of Transportation, National Highway Traffic Safety Administration, has data on traffic safety. 
There are policies and guidelines for traffic volumes and facility types at intersections in the United States.; The United States Weather Bureau's 35-year standard is used to measure traffic flow in cities and unincorporated areas.; The Interstate System in the US was built primarily for rural areas, with long-distance passenger and freight traffic moving primarily by rail.; The National Highway Traffic Safety Administration (NHTSA) presented at a meeting of the Panel's chairperson.; The state has interconnected the timing of the signals to keep traffic moving in the southwest suburbs of Chicago.; The San Diego Region-Baja California Cross-Border Transportation Study identified border crossing scenarios and traffic volumes.",NA
222819,2000-11-01,2000-11-01,2000-11-30,"The San Diego Region-Baja California Cross-Border Transportation Study identified border crossing scenarios and traffic volumes.; The traffic volume on Passmore Dr is 11,055 per year, as of 2009.; The Interstate System is the highest classification of roadways in the United States, with a total of 46,876 miles as of 1999.; The calculation of overall road traffic emissions on every link of the road network is performed by considering the traffic volume estimated in the network.; The definition of a low-volume road is a road with a traffic volume of less than 400 vehicles per day.",NA
218390,2000-12-01,2000-12-01,2000-12-31,"The definition of a low-volume road is a road with a traffic volume of less than 400 vehicles per day.; The volume of traffic in Surabaya, Indonesia reached 1.91 million vehicles in 2018, causing 86% congestion due to daily traffic volume and road capacity.; The American Association of State Highway and Transportation Officials published guidelines for geometric design of very low-volume local roads in 2001.; The United States Bureau of Mines Information Circular 7718 provides information on carrying kind and quantity of traffic.; The U.S. Department of Transportation publishes statistics on traffic and transportation.",NA
209685,2001-01-01,2001-01-01,2001-01-31,"Travel trends are reported monthly in Traffic Volume Trends based on actual traffic counts at permanent traffic recorders operated by the State highway agencies.; The National Highway Traffic Safety Administration has published a notice in the Federal Register regarding transportation safety.; The Transportation FAQ by the City of Mesa mentions that average daily traffic volumes may decrease on residential streets due to traffic diversion.; The North Dakota Century Code t24c01 states that adequate roads and streets provide for the free flow of traffic; result in low cost of motor vehicle operation; and protect the health and safety of the citizens of North Dakota.; The average daily traffic volume on US 222 in Wyomissing Borough and Spring Township is 28,712 vehicles northbound and 29,156 vehicles southbound.",NA
200876,2001-02-01,2001-02-01,2001-02-28,"The average daily traffic volume on US 222 in Wyomissing Borough and Spring Township is 28,712 vehicles northbound and 29,156 vehicles southbound.; The accident rate at sites without sidewalks is more than twice as likely to occur than expected, with a rate of +2.2 times traffic volume.; Strictly speaking, many traffic safety problems in high-volume, high-speed work zones have existed for many years. For example, excessive travel speeds in these areas have been a concern.; Objective facts about the Traffic and Transportation situation: 
According to the Highway statistics, there is a correlation between traffic congestion and travel speeds, which can lead to slower travel speeds if traffic becomes more congested.; The total traffic volume by vehicle type was developed by generating estimates of travel.",NA
232587,2001-03-01,2001-03-01,2001-03-31,"The total traffic volume by vehicle type was developed by generating estimates of travel.; The New York Codes, Rules and Regulations define traffic and transportation-related terms.; The average daily traffic volumes can be estimated by considering the direction of travel and the total traffic on the same route, including parallel roads.; Traffic volumes are not directly correlated with fatal accidents, and Sundays tend to have the lowest volume of travel.; There are regulations governing highway right-of-way encroachments in Idaho, as approved by the Idaho Transportation Board.",NA
